text,covid_stats,vaccination,covid_politics,humour,lockdown,civic_views,life_during_pandemic,covid_waves_and_variants
"देशभर थपिए २,६२२ कोरोना संक्रमित, २३ जनाको मृत्यु",1,0,0,0,0,0,0,0
संसदको शिक्षा तथा स्वास्थ समितिले कक्षा १२ को परीक्षा अघि नै विद्यार्थीलाई खोप दिन सरकारलाई दिए सुझाव,0,1,1,0,0,0,0,0
ले आफ्ना हवाईयात्रुमाझ हालै गरेको सर्वेक्षणले हरेक १० जनामा ४ जनाले खोप लगाएको पाइएछ । खोप लगाएका मध्ये २/३ हवाईयात्रुले दोस्रो मात्राको खोप लगाइसकेका छन् । २४ हजार ९३ उत्तरदाता मध्ये २% ले कोरोनालाई जितेको भनेका छन् । के अब आन्तरिक हवाई यात्रा सुरक्षित हुँदै गएको हो?,1,1,0,0,0,1,0,0
"केही आदत के बानि पुनर्जन्म लिएर आउदा पनि बदलिदैन🤩 😂😁🤣😋😂🤣😁 जस्तो कि तपाई हरुको यो लोभ लालच मेरा ट्विट हरु लाइ😁😂 rt गर्नु like गर्नु म कोरोना भय बाट ग्रसित नागरिक, म विवश,लाचार नागरिक ... #मैँले_खोप्_कहिले_पाउने_सरकार",0,1,0,1,0,0,0,0
सरकारले मन्त्रीपरिषदलाई पूर्णता दिन नसक्नु र ढिलो गर्नु नकारात्मक सन्देश जानू र लज्जास्पद विषय बन्न पुगेकोछ।अब तत्काल मन्त्रीपरिषदलाई पूर्णता दिई जनताको लागि खोप प्रयाप्त दिने र अध्यादेशबाट ल्याएको बजेटलाई खारेज गरि संसदबाट जनतालाई प्रत्यक्ष लाभदायिक हुन सक्ने बजेट ल्याउनुपर्छ ।,0,1,1,0,0,1,0,0
कुलमान ज्यू लाई बधाई छ र हामी सबै नेपाली लाई बधाई छ झिलिमिलि उज्यालो मा घर घर मा थुनेर बस्न पाउने भयौं। स्वास्थ महामारी छ लकडाउन को पीर छैन लोडसेडिङ को पीर गर्छौं। समस्या बत्ती को होईन रोग को छ।be real.,0,0,0,0,1,1,1,0
कोरोना भाइरसको तेस्रो लहर पनि केही महिनामै आउन सक्ने र त्यसले #वालवालिकालाई असर गर्ने विज्ञहरुले बताइरहेका छन्।म सरकारलाई केन्द्र र सातवटै प्रदेशमा वालवालिकाका लागि अस्पतालहरुमा विषेश वार्ड/आइसीयू लगायतको तयारी र १२ वर्षमाथिकालाई खोप सुरु गर्ने प्रक्रिया अघि बढाउन अनुरोध गर्दछु।,0,1,0,0,0,1,0,1
नेपालमा महामारी फैलिदैन भन्ने भविष्यवाणी,0,0,0,0,0,0,0,0
"यी ६ संकेत देखिए गराइहाल्नुहोस् उपचार, नत्र हुन्छ ब्रेन ट्युमरको जोखिम",0,0,0,0,0,0,0,0
केपीजीको प्रिय मित्र कोरोना भएको छ : रामनारायण बिडारी (भिडिओसहित),0,0,0,1,0,0,0,0
"आसै आस त हो नि भाई, हुन त मुलुकले हिजो दुई तिहाईको सरकार पाउँदा त सुशासन को सु देख्न पाइएन आज त मिलिजुली सरकार छ तेसैले खासै ठूलो आस राखिन्न बरु समयमै सबैले खोप लगाउन पाइए धन्य छ सरकार भनिन्छ।",0,1,0,0,0,1,0,0
बल्ल । यहि कछुवा स्पिडले अझै चार पाच साल त लकडाउन चल्ला जस्तो छ ।,0,0,0,1,1,0,0,0
